"filename", "language", "JSON", "JSON with Comments", "YAML", "Ignore", "JavaScript", "TypeScript", "Docker", "PostCSS", "TypeScript JSX", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/voter/history/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 1, 17, 105
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/voter/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/voter/results/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 18, 158
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/voter/vote/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 336, 0, 5, 37, 378
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/AddressStep.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/CampaignIDManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 14, 126
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/CampaignReviewList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 2, 7, 95
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/CandidateCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/CandidateForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 1, 18, 138
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/ClientProviders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/CountdownTimer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 10, 74
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/FAQAccordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 7, 60
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 2, 11
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 2, 23
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/KeyGeneration.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 10, 19, 163
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 9, 69
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 5, 10, 88
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/NearAuthGuard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 2, 5, 30
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/ProgressBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 4, 9, 56
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/Providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/SignUpCampaignPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 1, 8, 116
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/SignUpToVoteForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 2, 7, 148
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/SignUpToVotePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 2, 8, 91
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/UnauthorizedPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/VoteInterface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 3, 18, 131
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/WalletButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/components/withAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 6, 26
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/context/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 2, 13, 81
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/context/NearContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 3, 13, 84
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/hooks/useAuth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/lib/mongodb.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 11, 41
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/lib/near-config.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 3, 6, 55
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/lib/near-contract.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/lib/utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/models/Campaign.ts", "TypeScript", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 7, 8, 102
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/models/User.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/models/Vote.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/services/api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/services/authService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/styles/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/types/index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/utils/campaignStatus.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/utils/helpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 8499, 26, 31, 12, 20, 1269, 10, 3, 3904, 11431, 138, 763, 26106
